rank	char	match_score
678	선	0.829
679	설	0.933
680	섬	0.960
681	섭	0.960
682	섯	0.821
683	성	0.849
684	세	0.800
685	센	0.932
686	셀	0.968
687	셈	0.953
688	셋	0.866
689	셔	0.873
690	션	0.923
691	셨	0.951
692	소	0.979
693	속	audit-fix
694	손	1.000
695	솔	1.000
696	송	audit-fix
697	쇄	audit-fix
698	쇼	0.863
699	숏	0.967
700	수	0.844
701	숙	0.984
702	순	audit-fix
703	술	0.945
704	숨	1.000
705	숫	0.947
706	숭	1.000
707	숲	1.000
708	숴	0.833
709	쉐	0.909
710	쉬	0.821
711	쉴	1.000
712	쉽	0.943
713	슈	0.786
714	슘	1.000
715	스	0.976
716	슨	0.967
717	슬	0.944
718	슴	1.000
719	습	1.000
720	승	0.986
721	시	0.857
722	식	0.929
723	신	0.857
724	실	0.940
725	심	0.959
726	십	0.959
727	싶	0.944
728	싸	manual
729	싼	0.904
730	쌈	0.918
731	쌍	0.897
732	쌓	0.923
733	쌔	0.894
734	써	manual
735	썩	0.896
736	썬	0.873
737	썼	0.886
738	쎄	0.874
739	쏘	0.868
740	쓰	0.851
741	쓴	1.000
742	쓸	1.000
743	씌	audit-fix
744	씨	manual
745	씩	0.889
746	씬	0.899
747	아	0.698
748	악	0.875
749	안	0.865
750	않	0.854
751	알	0.903
752	암	0.875
753	앗	0.762
754	았	0.836
755	앙	0.880
756	앞	0.875
757	애	manual
758	액	0.941
759	앤	0.949
760	앨	0.948
761	야	manual
762	약	0.824
763	얄	0.870
764	양	0.897
765	얘	manual
766	어	0.683
767	억	0.892
768	언	0.873
769	얹	0.907
770	얻	0.911
771	얼	0.925
772	엄	0.916
773	업	0.884
774	없	0.840
775	엇	0.794
776	었	0.879
777	에	0.843
778	엑	0.986
779	엔	0.987
780	엘	0.980
781	엠	0.989
782	엣	0.912
783	여	manual
784	역	0.914
785	엮	0.845
786	연	0.895
787	열	0.939
788	염	0.907
789	엽	0.907
790	였	0.870
791	영	0.925
792	옆	0.907
793	예	0.810
794	옛	0.917
795	오	0.873
796	옥	1.000
797	온	1.000
798	올	1.000
799	옷	0.972
800	와	0.889
801	완	0.925
802	왈	0.929
803	왔	0.974
804	왕	0.988
805	왜	0.795
806	왠	0.989
807	외	0.918
808	요	0.844
809	욕	1.000
810	용	manual
811	우	manual
812	욱	manual
813	운	manual
814	울	1.000
815	움	1.000
816	웃	0.986
817	워	0.866
818	원	1.000
819	월	0.958
820	웜	manual
821	웠	0.907
822	웨	0.899
823	위	0.970
824	윈	0.961
825	윗	0.833
826	윙	0.952
827	유	manual
828	육	audit-fix
829	율	audit-fix
830	으	0.923
831	윽	1.000
832	은	1.000
833	을	1.000
834	음	1.000
835	응	1.000
836	의	0.921
837	이	0.706
838	익	0.867
839	인	0.857
840	일	0.909
841	잃	audit-fix
842	임	0.897
843	입	0.900
844	잇	0.746
845	있	0.852
846	잉	0.873
847	잊	0.800
848	잌	audit-fix
849	자	0.820
850	작	0.970
851	잔	0.932
852	잖	0.989
853	잘	0.979
854	잠	0.976
855	잡	0.989
856	장	0.949
857	재	manual
858	쟁	manual
859	쟈	0.812
860	저	manual
861	적	0.899
862	전	manual
863	절	0.938
864	점	0.918
865	접	0.929
866	정	0.909
867	제	manual
868	젤	0.950
869	져	manual
870	젼	0.921
871	졌	0.889
872	졔	0.840
873	조	0.947
874	족	0.961
875	존	0.947
876	졸	0.981
877	좀	0.968
878	좁	0.968
879	종	0.966
880	좋	0.933
881	좌	0.812
882	죄	0.806
883	죠	0.862
884	주	0.918
885	죽	0.974
886	준	0.961
887	줄	1.000
888	중	0.977
889	줘	0.822
890	줬	0.900
891	쥐	audit-fix
892	쥬	audit-fix
893	즈	0.889
894	즉	0.973
895	즌	1.000
896	즐	1.000
897	즘	0.978
898	즙	0.978
899	증	0.976
900	지	0.828
901	직	0.984
902	진	0.925
903	질	1.000
904	짐	1.000
905	집	1.000
906	짓	0.871
907	징	0.974
908	짜	0.816
909	짧	audit-fix
910	째	0.854
911	쨌	0.952
912	쩍	0.865
913	쩐	0.853
914	쩔	0.949
915	쪼	0.985
916	쪽	0.947
917	쫓	1.000
918	쯔	0.983
919	찌	0.838
920	찍	0.849
921	찜	0.879
922	찢	0.773
923	차	0.879
924	착	0.971
925	찬	0.842
926	찮	0.977
927	찰	0.979
928	참	0.876
929	찼	0.958
930	창	0.963
931	찾	0.900
932	채	0.850
933	책	manual
934	챈	1.000
935	챙	0.905
936	처	0.750
937	척	0.986
938	천	0.868
939	철	0.990
940	첨	0.899
941	청	0.878
942	체	manual
943	쳇	0.861
944	쳐	manual
945	쳤	0.892
946	초	1.000
947	촉	1.000
948	총	1.000
949	최	audit-fix
950	쵸	0.985
951	추	0.969
952	축	1.000
953	출	0.971
954	춤	1.000
955	충	1.000
956	춰	0.950
957	췄	0.857
958	취	0.946
959	츄	0.971
960	츠	0.983
961	측	1.000
962	층	1.000
963	치	0.706
964	친	0.865
965	칠	0.851
966	침	0.897
967	칭	1.000
968	카	manual
969	칵	0.886
970	칸	0.853
971	칼	0.928
972	캐	manual
973	캔	0.951
974	캡	0.957
975	캬	manual
976	커	audit-fix
977	컬	0.898
978	컴	0.920
979	케	0.771
980	켄	0.988
981	켈	0.913
982	켓	0.919
983	켜	audit-fix
984	켤	0.891
985	켰	0.861
986	코	0.939
987	콘	1.000
988	콜	0.991
989	콤	0.990
990	콥	0.990
991	쿠	1.000
992	퀘	0.933
993	퀴	0.897
994	큐	1.000
995	크	0.931
996	큰	1.000
997	클	1.000
998	큼	manual
999	키	manual
1000	킨	0.853
1001	킬	0.905
1002	킴	0.905
1003	킷	0.783
1004	킹	0.895
1005	타	manual
1006	탁	1.000
1007	탄	0.988
1008	탈	0.991
1009	탑	1.000
1010	탓	0.914
1011	탕	0.989
1012	태	0.829
1013	택	0.925
1014	탱	0.923
1015	터	0.743
1016	턱	1.000
1017	털	0.981
1018	텅	0.989
1019	테	0.795
1020	텐	0.964
1021	텔	1.000
1022	템	1.000
1023	텨	manual
1024	토	0.886
1025	톤	1.000
1026	톨	1.000
1027	톰	1.000
1028	톱	1.000
1029	통	1.000
1030	퇴	manual
1031	툰	0.894
1032	툼	1.000
1033	튀	0.917
1034	튕	0.926
1035	튜	audit-fix
1036	트	0.912
1037	특	1.000
1038	튼	1.000
1039	틀	1.000
1040	티	audit-fix
1041	틴	manual
1042	틸	0.990
1043	팁	1.000
1044	파	0.754
1045	판	0.889
1046	팔	0.950
1047	팡	0.911
1048	패	manual
1049	팽	0.957
1050	퍼	0.800
1051	펀	0.892
1052	펄	0.938
1053	펌	0.898
1054	펑	0.901
1055	페	0.857
1056	펜	0.966
1057	펠	0.963
1058	펫	0.916
1059	펴	0.773
1060	편	0.861
1061	평	0.978
1062	폐	0.818
1063	포	0.776
1064	폭	1.000
1065	폰	1.000
1066	폴	1.000
1067	폼	1.000
1068	표	0.821
1069	푸	audit-fix
1070	푼	audit-fix
1071	풀	1.000
1072	품	1.000
1073	풋	0.962
1074	풍	1.000
1075	퓨	audit-fix
1076	프	0.758
1077	플	1.000
1078	픔	1.000
1079	피	0.788
1080	핀	0.883
1081	필	0.970
1082	핑	0.932
1083	하	0.889
1084	학	0.973
1085	한	1.000
1086	할	1.000
1087	함	1.000
1088	합	0.979
1089	핫	0.857
1090	항	1.000
1091	해	0.729
1092	핵	0.843
1093	핸	0.851
1094	햄	0.871
1095	햇	0.872
1096	했	0.815
1097	행	0.857
1098	향	1.000
1099	허	0.986
1100	헌	0.987
1101	험	0.989
1102	헛	0.973
1103	헝	0.805
1104	헤	0.974
1105	헥	0.988
1106	헬	1.000
1107	혀	0.932
1108	현	1.000
1109	혈	1.000
1110	협	audit-fix
1111	혔	0.827
1112	형	0.945
1113	호	0.971
1114	혹	0.974
1115	혼	0.974
1116	홉	0.958
1117	홍	0.977
1118	화	0.961
1119	확	1.000
1120	환	1.000
1121	활	1.000
1122	황	1.000
1123	회	0.974
1124	획	1.000
1125	효	0.973
1126	후	0.862
1127	훗	0.919
1128	훨	1.000
1129	휘	0.974
1130	휠	1.000
1131	휩	0.923
1132	휴	0.973
1133	흉	0.977
1134	흐	0.970
1135	흑	0.974
1136	흔	0.974
1137	흘	0.981
1138	흙	0.958
1139	흠	0.978
1140	흡	0.979
1141	흥	0.976
1142	흩	0.981
1143	희	manual
1144	흰	0.988
1145	히	audit-fix
1146	힌	1.000
1147	힐	0.979
1148	힘	1.000
1156	콤	manual-ooo
1157	맨	manual-ooo
1159	덴	1.000
1160	떡	1.000
1161	쁨	1.000
1162	뾰	1.000
1163	칫	1.000
