rank	char	match_score
237	가	0.645
238	각	0.818
239	간	0.818
240	갈	0.882
241	감	0.854
242	갑	0.875
243	값	0.868
244	갔	0.825
245	강	0.831
246	갖	0.763
247	같	0.800
248	갚	0.875
249	개	0.767
250	갬	0.953
251	갱	0.937
252	걀	0.845
253	거	manual
254	걱	0.857
255	건	0.836
256	걸	0.879
257	검	0.889
258	겁	0.889
259	것	0.774
260	게	0.789
261	겐	0.921
262	겠	0.986
263	겨	audit-fix
264	격	audit-fix
265	견	0.849
266	결	0.887
267	겹	0.876
268	경	0.886
269	계	0.789
270	고	0.926
271	곡	1.000
272	곤	1.000
273	곧	1.000
274	골	1.000
275	곰	1.000
276	곳	0.909
277	공	1.000
278	과	manual
279	관	1.000
280	광	0.989
281	괘	manual
282	괜	0.988
283	괴	0.825
284	교	0.818
285	구	0.920
286	국	1.000
287	군	audit-fix
288	굳	audit-fix
289	굴	audit-fix
290	궁	1.000
291	권	0.987
292	귀	audit-fix
293	규	0.780
294	그	0.894
295	극	1.000
296	근	1.000
297	글	1.000
298	금	1.000
299	급	1.000
300	긋	0.967
301	긍	1.000
302	기	0.667
303	긴	0.806
304	길	0.857
305	깃	0.742
306	깅	0.841
307	깊	0.868
308	까	audit-fix
309	깐	0.946
310	깔	0.979
311	깜	0.955
312	깟	0.841
313	깨	audit-fix
314	깰	0.970
315	꺄	audit-fix
316	꺼	audit-fix
317	껍	0.955
318	껏	0.841
319	께	audit-fix
320	껴	audit-fix
321	꼈	0.933
322	꼬	0.824
323	꼭	1.000
324	꼴	0.941
325	꽂	1.000
326	꽃	0.933
327	꽉	0.904
328	꽤	0.829
329	꾀	audit-fix
330	꾸	0.836
331	꾼	0.987
332	꿈	1.000
333	꿔	0.842
334	끄	0.800
335	끊	0.976
336	끌	1.000
337	끔	1.000
338	끝	1.000
339	끼	audit-fix
340	낌	0.952
341	나	0.737
342	낙	0.951
343	난	0.954
344	날	0.966
345	남	0.962
346	납	0.963
347	낫	0.833
348	났	0.935
349	낮	0.873
350	낳	0.880
351	내	0.816
352	낸	1.000
353	낼	0.947
354	냄	0.988
355	냈	0.912
356	냉	0.923
357	냐	0.754
358	냥	0.895
359	너	audit-fix
360	넌	1.000
361	널	0.989
362	넓	0.899
363	넘	1.000
364	네	0.816
365	넥	1.000
366	넬	0.979
367	녀	0.806
368	녁	1.000
369	년	1.000
370	념	0.989
371	노	0.864
372	녹	1.000
373	놀	1.000
374	놈	1.000
375	농	1.000
376	높	1.000
377	놓	manual
378	뇨	0.875
379	누	1.000
380	눈	1.000
381	눌	1.000
382	눠	0.955
383	뉴	1.000
384	느	0.927
385	늑	manual
386	는	0.969
387	늘	1.000
388	능	manual
389	늦	manual
390	늪	manual
391	니	0.721
392	닉	0.947
393	닌	0.951
394	닐	0.953
395	님	0.960
396	닙	0.960
397	닝	0.941
398	다	0.708
399	닥	0.958
400	단	0.960
401	닫	0.965
402	달	0.970
403	닭	0.889
404	담	0.945
405	답	0.945
406	당	0.925
407	닿	0.894
408	대	0.785
409	댄	0.950
410	더	0.743
411	던	manual
412	덤	0.977
413	덩	0.963
414	덮	0.977
415	데	0.805
416	도	0.857
417	독	1.000
418	돈	1.000
419	돋	1.000
420	돌	1.000
421	돕	1.000
422	동	1.000
423	돼	0.800
424	됐	0.955
425	되	manual
426	된	0.988
427	될	manual
428	됨	manual
429	됩	0.936
430	둔	0.909
431	둘	1.000
432	둠	1.000
433	둥	1.000
434	둬	0.886
435	뒤	0.866
436	듄	0.919
437	드	0.906
438	득	1.000
439	든	1.000
440	듣	1.000
441	들	1.000
442	듯	0.973
443	등	1.000
444	디	audit-fix
445	딘	0.973
446	딩	0.949
447	따	0.789
448	딱	0.917
449	딴	1.000
450	딸	0.990
451	땋	0.889
452	때	0.841
453	땐	1.000
454	떠	audit-fix
455	떤	audit-fix
456	떻	0.932
457	떼	0.842
458	또	0.829
459	똑	1.000
460	뚜	audit-fix
461	뚫	1.000
462	뛰	0.842
463	뜨	0.836
464	뜩	1.000
465	뜬	0.987
466	뜯	1.000
467	뜻	manual
468	띠	0.811
469	라	manual
470	락	0.923
471	란	0.951
472	랄	0.991
473	람	0.938
474	랍	0.938
475	랐	0.911
476	랑	0.921
477	래	0.780
478	랙	0.938
479	랜	manual
480	램	0.949
481	랬	0.892
482	랭	0.935
483	량	0.901
484	러	0.730
485	런	1.000
486	럴	0.952
487	럼	1.000
488	럽	1.000
489	럿	0.907
490	렀	0.987
491	렁	0.989
492	렇	0.835
493	레	0.809
494	렌	0.929
495	렐	1.000
496	렘	1.000
497	렛	0.938
498	려	0.763
499	력	1.000
500	련	1.000
501	렬	0.955
502	렴	1.000
503	렵	1.000
504	렸	0.988
505	령	1.000
506	례	0.774
507	로	0.857
508	록	1.000
509	론	1.000
510	롤	1.000
511	롭	1.000
512	롯	0.978
513	롱	1.000
515	료	0.842
516	룡	1.000
517	루	0.894
518	룩	1.000
519	룬	1.000
520	룰	1.000
521	뤼	0.925
522	류	audit-fix
523	륜	1.000
524	률	1.000
525	륨	1.000
526	르	0.882
527	른	1.000
528	를	1.000
529	름	1.000
530	릎	1.000
531	리	manual
532	릭	0.947
533	린	manual
534	릴	0.990
535	림	0.957
536	립	0.957
537	릿	0.853
538	링	0.943
539	마	manual
540	막	0.914
541	만	0.923
542	많	0.867
543	말	0.939
544	맘	0.911
545	맙	0.911
546	맛	0.812
547	망	0.886
548	맞	0.850
549	맡	0.920
550	매	0.851
552	맵	0.957
553	맹	0.943
554	맺	0.835
555	머	manual
556	먹	0.904
557	먼	0.886
558	멈	0.923
559	멋	0.806
560	멍	0.905
561	메	0.897
562	멘	0.989
563	멜	0.981
564	멧	0.921
565	며	manual
566	면	0.905
567	멸	0.941
568	명	0.932
569	모	0.866
570	목	1.000
571	몬	1.000
572	몰	1.000
573	몸	1.000
574	못	manual
575	몽	1.000
576	묘	0.821
577	무	0.941
578	묵	1.000
579	문	audit-fix
580	묻	audit-fix
581	물	audit-fix
582	뭐	0.880
583	뭔	0.952
584	뭘	0.963
585	뮨	0.947
586	뮬	1.000
587	므	0.857
588	미	manual
589	믹	0.909
590	민	0.919
591	믿	0.925
592	밀	0.928
593	밑	0.851
594	바	0.753
595	박	0.872
596	밖	manual
597	반	manual
598	받	0.889
599	발	manual
600	밝	0.915
601	밤	0.896
602	밥	0.896
603	방	0.876
604	배	0.857
605	백	1.000
606	뱀	0.959
607	뱃	0.886
608	뱅	0.945
609	뱉	0.882
610	버	0.722
611	벅	0.895
612	번	0.886
613	벌	0.931
614	범	0.915
615	법	0.915
616	베	0.901
617	벨	0.981
618	벳	0.925
619	벼	manual
620	벽	0.911
621	변	manual
622	별	0.914
623	병	0.870
624	보	0.842
625	복	1.000
626	본	0.880
627	볼	1.000
628	봄	1.000
629	봉	1.000
630	봐	manual
631	봤	0.918
632	부	0.857
633	북	1.000
634	분	manual
635	불	1.000
636	붕	1.000
637	붙	1.000
638	뷸	1.000
639	브	0.833
640	븐	manual
641	블	1.000
642	비	0.740
643	빅	0.877
644	빈	0.865
645	빌	0.907
646	빗	0.800
647	빙	0.881
648	빚	0.805
649	빛	0.833
650	빠	0.887
651	빡	1.000
652	빨	0.957
653	빵	0.990
654	빼	0.920
655	뺄	0.947
656	뻗	1.000
657	뽑	0.991
658	뿌	0.854
659	뿍	0.902
660	뿔	0.966
661	뿜	1.000
662	쁜	1.000
663	사	0.868
664	삭	0.877
665	산	0.918
666	살	0.918
667	삼	0.933
668	상	0.917
669	새	manual
670	색	manual
671	샌	0.943
672	샐	0.967
673	생	manual
674	샤	0.862
675	샬	0.897
676	서	manual
677	석	0.825
